#time,accel_x,accel_y,accel_z
10578.000256,-4293.194464,2516.700203,-78601.398095
10578.002834,3552.988522,-2664.741391,-78754.617194
10578.005412,1776.494261,-740.205942,-77528.864398
10578.007990,-3404.947333,-740.205942,-78294.959896
10578.010568,1628.453072,-2368.659014,-78907.836294
10578.013146,2812.782580,3849.070898,-76609.549800
10578.015724,-5477.523971,-3404.947333,-77682.083497
10578.018302,-592.164754,1924.535449,-77835.302597
10578.020880,2664.741391,-148.041188,-78141.740796
10578.023458,-1628.453072,1776.494261,-78294.959896
10578.026036,3256.906145,5773.606348,-79520.712692
10578.028614,9770.718434,2664.741391,-77375.645298
10578.031192,7105.977043,1332.370696,-77528.864398
10578.033770,19689.478057,3552.988522,-78448.178995
10578.036348,10658.965565,-1332.370696,-77988.521696
10578.038926,-12435.459826,-296.082377,-77835.302597
10578.041504,-16136.489536,-3552.988522,-77835.302597
10578.044082,-7402.059420,-5773.606348,-77835.302597
10578.046661,-5773.606348,-3849.070898,-75690.235202
10578.049239,6661.853478,-3256.906145,-79980.369991
10578.051817,10807.006753,-6957.935855,-79673.931792
10578.054395,-3849.070898,-3404.947333,-75230.577904
10578.056973,-14359.995275,-1628.453072,-77222.426198
10578.059551,-4589.276840,148.041188,-79061.055394
10578.062129,740.205942,-1184.329507,-77988.521696
10578.064707,-1184.329507,1184.329507,-77069.207099
10578.067285,8734.430116,-3997.112087,-78294.959896
10578.069863,-2664.741391,-3997.112087,-77069.207099
10578.072441,-11843.295072,-3552.988522,-77835.302597
10578.075019,-888.247130,-4885.359217,-79827.150892
10578.077597,2960.823768,-740.205942,-77835.302597
10578.080175,-3256.906145,-5921.647536,-76609.549800
10578.082753,1332.370696,2368.659014,-77528.864398
10578.085331,-1036.288319,-5033.400406,-78448.178995
10578.087909,-6809.894666,-2072.576638,-75843.454302
10578.090487,296.082377,-1628.453072,-79980.369991
10578.093065,2516.700203,-6365.771101,-78141.740796
10578.095643,-6069.688724,-8142.265362,-77835.302597
10578.098221,-7105.977043,-2072.576638,-76762.768900
10578.100799,-6069.688724,-5477.523971,-75843.454302
10578.103378,-3849.070898,-1628.453072,-78448.178995
10578.105956,-3849.070898,888.247130,-77528.864398
10578.108534,7550.100608,-3256.906145,-78141.740796
10578.111112,296.082377,-1628.453072,-76915.987999
10578.113690,-7994.224174,-2368.659014,-78601.398095
10578.116268,-592.164754,-3849.070898,-79367.493593
10578.118846,-9326.594869,-6661.853478,-76762.768900
10578.121424,-8142.265362,-5477.523971,-78907.836294
10578.124002,3404.947333,-1924.535449,-77988.521696
10578.126580,9622.677246,1036.288319,-76149.892501
10578.129158,-148.041188,1628.453072,-78754.617194
10578.131736,7105.977043,6365.771101,-79214.274493
10578.134314,-592.164754,296.082377,-78294.959896
10578.136892,-8142.265362,3256.906145,-74158.044206
10578.139470,-2664.741391,-5329.482782,-79673.931792
10578.142048,9030.512492,-148.041188,-77375.645298
10578.144626,592.164754,-2516.700203,-78294.959896
10578.147204,2072.576638,-444.123565,-78754.617194
10578.149782,3701.029710,296.082377,-78141.740796
10578.152361,-3849.070898,4441.235652,-75843.454302
10578.154939,-148.041188,6217.729913,-77988.521696
10578.157517,8142.265362,2812.782580,-78754.617194
10578.160095,4145.153275,-740.205942,-76303.111601
10578.162673,2516.700203,1628.453072,-77528.864398
10578.165251,3552.988522,-4293.194464,-78754.617194
10578.167829,-4885.359217,-1036.288319,-76609.549800
10578.170407,-5477.523971,2664.741391,-78141.740796
10578.172985,5033.400406,2812.782580,-79214.274493
10578.175563,6365.771101,1924.535449,-77375.645298
10578.178141,-3997.112087,1628.453072,-75383.797003
10578.180719,444.123565,1480.411884,-79520.712692
10578.183297,2664.741391,-1480.411884,-79214.274493
10578.185875,-6809.894666,-592.164754,-77835.302597
10578.188453,7105.977043,-888.247130,-78294.959896
10578.191031,2664.741391,-1776.494261,-78754.617194
10578.193609,592.164754,2072.576638,-74311.263306
10578.196186,2368.659014,7105.977043,-78907.836294
10578.198764,10362.883188,1480.411884,-79520.712692
10578.201342,1628.453072,444.123565,-79214.274493
10578.203920,6217.729913,-1332.370696,-79367.493593
10578.206498,3997.112087,-1776.494261,-76149.892501
10578.209076,-3997.112087,-888.247130,-75996.673402
10578.211653,-148.041188,1924.535449,-78754.617194
10578.214231,6217.729913,1924.535449,-79367.493593
10578.216809,3404.947333,3997.112087,-76762.768900
10578.219387,1332.370696,3849.070898,-78294.959896
10578.221965,6217.729913,-592.164754,-78448.178995
10578.224543,-2516.700203,-1036.288319,-77069.207099
10578.227121,-2516.700203,1628.453072,-77528.864398
10578.229698,-296.082377,-2664.741391,-78448.178995
10578.232276,-4441.235652,-4589.276840,-76762.768900
10578.234854,-1924.535449,-5773.606348,-78754.617194
10578.237432,4145.153275,-2960.823768,-78907.836294
10578.240010,-4293.194464,-4737.318029,-77069.207099
10578.242588,-7698.141797,-2072.576638,-77375.645298
10578.245165,-4145.153275,592.164754,-78294.959896
10578.247743,-2516.700203,-1628.453072,-76609.549800
10578.250321,-5329.482782,-2220.617826,-76915.987999
10578.252899,2960.823768,-5033.400406,-78294.959896
10578.255477,2516.700203,-6513.812290,-77069.207099
10578.258055,-6957.935855,-5033.400406,-75383.797003
10578.260632,-4293.194464,-1776.494261,-79214.274493
10578.263210,888.247130,-3849.070898,-79214.274493
10578.265788,-1924.535449,592.164754,-75996.673402
10578.268366,592.164754,-2516.700203,-78141.740796
10578.270944,4737.318029,-4737.318029,-77988.521696
10578.273522,-6365.771101,-2812.782580,-77835.302597
10578.276100,-2516.700203,-740.205942,-77069.207099
10578.278677,3256.906145,-6661.853478,-77528.864398
10578.281255,888.247130,1036.288319,-75843.454302
10578.283833,-5477.523971,-2220.617826,-75996.673402
10578.286411,888.247130,-2664.741391,-77682.083497
10578.288988,0.000000,-2220.617826,-77375.645298
10578.291564,-7550.100608,-3701.029710,-76149.892501
10578.294141,-2072.576638,-6217.729913,-78141.740796
10578.296718,-4885.359217,-5477.523971,-78601.398095
10578.299295,-9770.718434,-3552.988522,-79061.055394
10578.301871,444.123565,-1776.494261,-79520.712692
10578.304448,-2960.823768,-6217.729913,-78601.398095
10578.307025,-2516.700203,-444.123565,-76303.111601
10578.309602,-444.123565,296.082377,-78448.178995
10578.312179,-296.082377,-5477.523971,-77682.083497
10578.314755,-14211.954086,-5773.606348,-77375.645298
10578.317332,-6365.771101,-4737.318029,-78294.959896
10578.319909,4145.153275,-9030.512492,-77375.645298
10578.322486,592.164754,-1036.288319,-76303.111601
10578.325062,7550.100608,444.123565,-79827.150892
10578.327639,12139.377449,2664.741391,-77222.426198
10578.330216,-592.164754,5773.606348,-76762.768900
