#time,accel_x,accel_y,accel_z
10448.852728,3256.906145,-1628.453072,-77375.645298
10448.855309,3997.112087,-2220.617826,-77835.302597
10448.857890,-4441.235652,1480.411884,-78141.740796
10448.860471,2664.741391,-1332.370696,-78754.617194
10448.863052,3404.947333,-2664.741391,-77528.864398
10448.865633,-3108.864956,2664.741391,-77682.083497
10448.868213,1776.494261,-4885.359217,-78601.398095
10448.870794,2664.741391,-148.041188,-77222.426198
10448.873375,-1036.288319,-148.041188,-76762.768900
10448.875956,-4737.318029,-3552.988522,-78601.398095
10448.878537,2368.659014,-1332.370696,-77375.645298
10448.881118,-2664.741391,-8586.388927,-79061.055394
10448.883699,1480.411884,-1924.535449,-77835.302597
10448.886280,9474.636058,-7846.182985,-78294.959896
10448.888861,-148.041188,-3552.988522,-78141.740796
10448.891442,5329.482782,-5181.441594,-78448.178995
10448.894023,3256.906145,-4737.318029,-78141.740796
10448.896603,1924.535449,-4441.235652,-77069.207099
10448.899184,1184.329507,-2812.782580,-78601.398095
10448.901765,7550.100608,-3256.906145,-78141.740796
10448.904346,-1332.370696,148.041188,-77528.864398
10448.906927,-8734.430116,10214.842000,-77069.207099
10448.909508,-3849.070898,-1924.535449,-78448.178995
10448.912089,-3552.988522,1924.535449,-74924.139704
10448.914670,-592.164754,592.164754,-76762.768900
10448.917251,1480.411884,-1480.411884,-78294.959896
10448.919832,2220.617826,1332.370696,-76762.768900
10448.922412,-10362.883188,-444.123565,-77375.645298
10448.924993,-2516.700203,3256.906145,-76149.892501
10448.927574,-3404.947333,3701.029710,-78141.740796
10448.930155,-3108.864956,3997.112087,-77222.426198
10448.932736,6809.894666,4441.235652,-78294.959896
10448.935317,2812.782580,-4145.153275,-77528.864398
10448.937898,-8586.388927,0.000000,-76915.987999
10448.940479,-2516.700203,444.123565,-80133.589091
10448.943060,1628.453072,-592.164754,-79214.274493
10448.945501,444.123565,-2812.782580,-77375.645298
10448.947943,-5329.482782,2812.782580,-77222.426198
10448.950384,3404.947333,-740.205942,-76915.987999
10448.952826,-5181.441594,2368.659014,-78754.617194
10448.955267,-4441.235652,4441.235652,-78754.617194
10448.957708,-1036.288319,-2072.576638,-78907.836294
10448.960150,-4145.153275,2072.576638,-77069.207099
10448.962591,-6809.894666,2368.659014,-77069.207099
10448.965033,148.041188,444.123565,-79061.055394
10448.967474,0.000000,5181.441594,-77375.645298
10448.969916,-1184.329507,3256.906145,-77835.302597
10448.972357,9326.594869,-2368.659014,-76915.987999
10448.974799,-1480.411884,-9326.594869,-78294.959896
10448.977240,-13915.871710,3256.906145,-76915.987999
10448.979682,-5921.647536,1628.453072,-78907.836294
10448.982123,2960.823768,1776.494261,-77375.645298
10448.984565,3108.864956,6957.935855,-75843.454302
10448.987006,1628.453072,2960.823768,-79061.055394
10448.989448,3552.988522,-2812.782580,-76149.892501
10448.991889,-3997.112087,-8142.265362,-76609.549800
10448.994330,-3849.070898,-5033.400406,-77069.207099
10448.996772,9474.636058,-9326.594869,-78907.836294
10448.999213,2960.823768,-8142.265362,-78907.836294
10449.001655,7550.100608,-1332.370696,-77069.207099
10449.004096,-1184.329507,888.247130,-77528.864398
10449.006538,-148.041188,2072.576638,-77375.645298
10449.008979,-6069.688724,4145.153275,-79827.150892
10449.011421,6069.688724,-5033.400406,-79367.493593
10449.013862,6661.853478,-6513.812290,-77222.426198
10449.016304,1184.329507,-9622.677246,-77528.864398
10449.018745,3849.070898,-7550.100608,-77375.645298
10449.021187,-444.123565,-7698.141797,-77528.864398
10449.023628,-2960.823768,1036.288319,-78294.959896
10449.026069,3552.988522,2368.659014,-78448.178995
10449.028511,5329.482782,1036.288319,-77069.207099
10449.030952,-1628.453072,-3108.864956,-76915.987999
10449.033394,1184.329507,-8290.306550,-77682.083497
10449.035835,3256.906145,592.164754,-75537.016103
10449.038277,-2516.700203,-7105.977043,-78601.398095
10449.040718,740.205942,1924.535449,-78448.178995
10449.043215,148.041188,-3701.029710,-77222.426198
10449.045712,0.000000,-6365.771101,-77375.645298
10449.048208,-2220.617826,3404.947333,-77528.864398
10449.050705,8882.471304,-9622.677246,-77375.645298
10449.053201,2516.700203,-4145.153275,-76609.549800
10449.055698,3701.029710,-5921.647536,-79367.493593
10449.058195,5181.441594,-1480.411884,-77682.083497
10449.060691,-888.247130,-5625.565159,-77222.426198
10449.063188,-2664.741391,1776.494261,-76609.549800
10449.065684,8438.347739,-3701.029710,-78141.740796
10449.068181,7994.224174,-5625.565159,-78294.959896
10449.070678,-2812.782580,-3108.864956,-77069.207099
10449.073174,148.041188,-4589.276840,-77682.083497
10449.075671,1332.370696,-3701.029710,-77375.645298
